nb_cell,cell_first_line,cell_lines,file,file_lines,note
1,import ray,1,madewithml/data.py,3,
1,import ray,2-4,diagnostics/llm_baselines.py,19-21,
1,import ray,5,madewithml/models.py,6,
1,import ray,6-7,madewithml/data.py,5-6,
1,import ray,8-11,diagnostics/eda.py,15-18,
1,import ray,12-13,madewithml/data.py,8-9,
1,import ray,14,madewithml/models.py,8,
1,import ray,15-16,madewithml/data.py,11-12,
1,import ray,17,madewithml/utils.py,3,
1,import ray,18,madewithml/data.py,14,
1,import ray,19,diagnostics/llm_baselines.py,23,
1,import ray,20,madewithml/config.py,3,
1,import ray,21,madewithml/utils.py,5,
1,import ray,22-26,madewithml/config.py,5-9,
2,if ray.is_initialized():,1-2,madewithml/train.py,156-157,indented into train_model()
3,"DATASET_LOC = ""https://raw.githubusercontent.com/GokuMohandas/Made-With-ML/main/datasets/dataset.csv""",1,madewithml/config.py,12,
3,"DATASET_LOC = ""https://raw.githubusercontent.com/GokuMohandas/Made-With-ML/main/datasets/dataset.csv""",2-3,diagnostics/eda.py,26-27,"indented into main(); 1 line(s) wrapped in print(), see Modified lines"
4,df.shape,1,diagnostics/eda.py,30,"indented into main(); 1 line(s) wrapped in print(), see Modified lines"
5,df.columns,1,diagnostics/eda.py,33,"indented into main(); 1 line(s) wrapped in print(), see Modified lines"
6,df.tag.value_counts(),1,diagnostics/eda.py,36,"indented into main(); 1 line(s) wrapped in print(), see Modified lines"
7,"train_df, val_df = train_test_split(df,stratify=df.tag,test_size=TEST_SIZE,random_state=RANDOM_SEED)",1,diagnostics/eda.py,39,indented into main()
8,train_df.shape,1,diagnostics/eda.py,42,"indented into main(); 1 line(s) wrapped in print(), see Modified lines"
9,train_df.tag.value_counts(),1,diagnostics/eda.py,45,"indented into main(); 1 line(s) wrapped in print(), see Modified lines"
10,val_df.shape,1,diagnostics/eda.py,48,"indented into main(); 1 line(s) wrapped in print(), see Modified lines"
11,#verify if startify did its job,1-2,diagnostics/eda.py,51-52,"indented into main(); 1 line(s) wrapped in print(), see Modified lines"
12,val_df.shape,1,diagnostics/eda.py,55,"indented into main(); 1 line(s) wrapped in print(), see Modified lines"
13,all_tags=Counter(df['tag']),1-5,diagnostics/eda.py,58-62,"indented into main(); 1 line(s) wrapped in print(), see Modified lines"
14,"plt.figure(figsize=(10,5))",1-3,diagnostics/eda.py,65-67,indented into main()
15,# Plot tag frequencies #other alternative,1-9,diagnostics/eda.py,70-78,indented into main()
16,#most frequent tokens for each tag,1-9,diagnostics/eda.py,81-89,indented into main()
17,"df['text']=df['title']+ "" "" + df['description']",1,diagnostics/eda.py,92,indented into main()
18,#lru cache can be used as well,1-17,madewithml/data.py,55-71,
19,original_df=df.copy(),1-4,diagnostics/eda.py,95-98,indented into main()
20,"df=df.drop(columns=['id','created_on','title','description'],errors='ignore')",1-4,diagnostics/eda.py,101-104,"indented into main(); 1 line(s) wrapped in print(), see Modified lines"
21,#label encoding,1-5,diagnostics/eda.py,107-111,"indented into main(); 1 line(s) wrapped in print(), see Modified lines"
22,df['tag']=df['tag'].map(class_to_index),1-2,diagnostics/eda.py,114-115,"indented into main(); 1 line(s) wrapped in print(), see Modified lines"
23,"def decode(indices,index_to_class):",1-3,madewithml/data.py,108-110,
24,"index_to_class={v:k for k,v in class_to_index.items()}",1-2,diagnostics/eda.py,118-119,"indented into main(); 1 line(s) wrapped in print(), see Modified lines"
25,#bert tokenizer test,1-9,diagnostics/eda.py,122-130,indented into main()
26,#method to tokenize,1-6,madewithml/data.py,74-79,
27,tokenize(df.head(2)),1,diagnostics/eda.py,133,"indented into main(); 1 line(s) wrapped in print(), see Modified lines"
28,"# here tokenize is the issue , it gets reloaded every batch , changing this function to class will load once per worker",1-10,madewithml/data.py,83-92,
29,#just for refrence here. not used,1-23,diagnostics/ray_data_checks.py,20-42,
30,"preprocess(df=train_df,class_to_index=class_to_index)",1,diagnostics/eda.py,136,"indented into main(); 1 line(s) wrapped in print(), see Modified lines"
31,ray.data.DatasetContext.get_current().execution_options.preserve_order=True #deterministic,1-2,madewithml/train.py,159-160,indented into train_model()
32,ray.cluster_resources(),1,diagnostics/ray_data_checks.py,48,"indented into main(); 1 line(s) wrapped in print(), see Modified lines"
33,"ds=ray.data.read_csv(DATASET_LOC,override_num_blocks=int(ray.cluster_resources().get('CPU',1)))",1-3,diagnostics/ray_data_checks.py,51-53,"indented into main(); 1 line(s) wrapped in print(), see Modified lines"
